round_epochs,val_loss,val_accuracy,loss,accuracy,activation,batch_size,dropout,epochs,last_activation,losses,lr,optimizer
100,20.584579956903426,0.6891891956329346,0.28367576123050775,0.92424244,<function relu at 0x7f0df1f93bf8>,4,0.30000000000000004,100,<function sigmoid at 0x7f0df1f93d08>,<function binary_crossentropy at 0x7f0df2045b70>,0.41000000000000003,<class 'keras.optimizers.Adam'>
200,24.868273602975492,0.7027027010917664,0.011063331044507447,1.0,<function elu at 0x7f0df1f939d8>,3,0.0,200,<function sigmoid at 0x7f0df1f93d08>,<function binary_crossentropy at 0x7f0df2045b70>,0.41000000000000003,<class 'keras.optimizers.Adam'>
200,14.219275725854434,0.662162184715271,0.3074060861959658,0.92424244,<function elu at 0x7f0df1f939d8>,5,0.4,200,<function sigmoid at 0x7f0df1f93d08>,<function binary_crossentropy at 0x7f0df2045b70>,0.05,<class 'keras.optimizers.Adam'>
100,8.239624967446199,0.6351351141929626,0.3106944809075106,0.8636364,<function relu at 0x7f0df1f93bf8>,9,0.1,100,<function sigmoid at 0x7f0df1f93d08>,<function binary_crossentropy at 0x7f0df2045b70>,0.23000000000000004,<class 'keras.optimizers.Adam'>
100,11.176098295160243,0.6756756901741028,0.09455824982036244,1.0,<function relu at 0x7f0df1f93bf8>,8,0.0,100,<function sigmoid at 0x7f0df1f93d08>,<function binary_crossentropy at 0x7f0df2045b70>,0.14,<class 'keras.optimizers.Adam'>
200,11.053519661362106,0.6891891956329346,0.0563432104659803,1.0,<function elu at 0x7f0df1f939d8>,8,0.0,200,<function sigmoid at 0x7f0df1f93d08>,<function binary_crossentropy at 0x7f0df2045b70>,0.05,<class 'keras.optimizers.Adam'>
100,6.233233835950896,0.5675675868988037,0.4342831295886726,0.8787879,<function elu at 0x7f0df1f939d8>,5,0.1,100,<function sigmoid at 0x7f0df1f93d08>,<function binary_crossentropy at 0x7f0df2045b70>,0.05,<class 'keras.optimizers.Nadam'>
200,17.716353631301505,0.6351351141929626,0.04359029291630246,1.0,<function elu at 0x7f0df1f939d8>,5,0.2,200,<function sigmoid at 0x7f0df1f93d08>,<function binary_crossentropy at 0x7f0df2045b70>,0.41000000000000003,<class 'keras.optimizers.Nadam'>
200,4.551174464258506,0.6891891956329346,0.13949019056753692,0.969697,<function elu at 0x7f0df1f939d8>,2,0.4,200,<function sigmoid at 0x7f0df1f93d08>,<function binary_crossentropy at 0x7f0df2045b70>,0.14,<class 'keras.optimizers.Adam'>
200,35.26400031270207,0.6351351141929626,0.008324869508097198,1.0,<function relu at 0x7f0df1f93bf8>,6,0.0,200,<function sigmoid at 0x7f0df1f93d08>,<function binary_crossentropy at 0x7f0df2045b70>,0.14,<class 'keras.optimizers.Nadam'>
